"request_parameters.type","request_parameters.amazon_domain","request_parameters.search_term","request_parameters.sort_by","request_parameters.page","request_parameters.custom_id","search_results.position","search_results.title","search_results.asin","search_results.link","search_results.image","search_results.rating","search_results.ratings_total","search_results.is_prime","search_results.sponsored","search_results.price.currency","search_results.price.value","search_results.page","search_results.add_on_item.is_add_on_item"
"search","amazon.com","headset",,,,1,"Logitech H390 Wired Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB-A, in-Line Controls for Video Meetings, Music, Gaming and Beyond - Black","B000UXZQ42","https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MDY5MzMwMjI1MTI3MTA2OjE3MTMyMzg4NDI6c3BfYXRmOjIwMDA3MzE4MDIwNzQ0MTo6MDo6&url=%2FLogitech-Headset-H390-Noise-Cancelling%2Fdp%2FB000UXZQ42%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.KwpdjAObc7gMgzovgYSHc6N3UEqB6zWcCUJHnB5o7ghcb7vrxVe3JY2o0Aa0t6SeVRQ8eCm7m4WYtGZ71w-FV4HTDtQ819PoOlhqTaBYNsmreH8sRv81UNXv9m4deuOsJCxs_mQTWnXGK8dwDZnuLMy33AyTmy6rpX_TaJ_WAqbKh2QuMnWhfQvRCBRmAwYi40N7CKLSeU7KE2yXRYQjP48CO-rUkPvmxsOD-atfBDg.vMwhOtCQv4hNZYv5l5ds5MN7TAnd7_a4sFV0nf4HhLU%26dib_tag%3Dse%26keywords%3Dheadset%26qid%3D1713238842%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","https://m.media-amazon.com/images/I/61jBnY6paeL._AC_UY218_.jpg",4.4,60236,true,true,"USD",21.99,,
"search","amazon.com","headset",,,,2,"NUBWO HW02 USB Headset with Microphone,Work Headset with Mic&in-line Control, Super Light, Ultra Comfort Computer Headset for Laptop pc, On-Ear Wired Office Call Center Headset for Boom Skype Webinars","B094Q53RW6","https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MDY5MzMwMjI1MTI3MTA2OjE3MTMyMzg4NDI6c3BfYXRmOjMwMDE0MzU5NTMyNjkwMjo6MDo6&url=%2FNUBWO-Microphone-Cancelling-Controls-Headphone%2Fdp%2FB094Q53RW6%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.KwpdjAObc7gMgzovgYSHc6N3UEqB6zWcCUJHnB5o7ghcb7vrxVe3JY2o0Aa0t6SeVRQ8eCm7m4WYtGZ71w-FV4HTDtQ819PoOlhqTaBYNsmreH8sRv81UNXv9m4deuOsJCxs_mQTWnXGK8dwDZnuLMy33AyTmy6rpX_TaJ_WAqbKh2QuMnWhfQvRCBRmAwYi40N7CKLSeU7KE2yXRYQjP48CO-rUkPvmxsOD-atfBDg.vMwhOtCQv4hNZYv5l5ds5MN7TAnd7_a4sFV0nf4HhLU%26dib_tag%3Dse%26keywords%3Dheadset%26qid%3D1713238842%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","https://m.media-amazon.com/images/I/61wClI+qlyL._AC_UY218_.jpg",4.3,1498,,true,"USD",17.99,,
"search","amazon.com","headset",,,,3,"Logitech H390 Wired Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB-A, in-Line Controls for Video Meetings, Music, Gaming and Beyond - Black","B000UXZQ42","https://www.amazon.com/Logitech-Headset-H390-Noise-Cancelling/dp/B000UXZQ42/ref=sr_1_3?dib=eyJ2IjoiMSJ9.KwpdjAObc7gMgzovgYSHc6N3UEqB6zWcCUJHnB5o7ghcb7vrxVe3JY2o0Aa0t6SeVRQ8eCm7m4WYtGZ71w-FV4HTDtQ819PoOlhqTaBYNsmreH8sRv81UNXv9m4deuOsJCxs_mQTWnXGK8dwDZnuLMy33AyTmy6rpX_TaJ_WAqbKh2QuMnWhfQvRCBRmAwYi40N7CKLSeU7KE2yXRYQjP48CO-rUkPvmxsOD-atfBDg.vMwhOtCQv4hNZYv5l5ds5MN7TAnd7_a4sFV0nf4HhLU&dib_tag=se&keywords=headset&qid=1713238842&sr=8-3","https://m.media-amazon.com/images/I/61jBnY6paeL._AC_UY218_.jpg",4.4,60236,,,"USD",21.99,,
"search","amazon.com","headset",,,,4,"SENZER SG500 Surround Sound Pro Gaming Headset with Noise Cancelling Microphone - Soft Memory Foam Padding - Portable Foldable Headphones for PC, PS4, PS5, Xbox One, Switch - Black","B08FX35S7K","https://www.amazon.com/SENZER-SG500-Surround-Cancelling-Microphone/dp/B08FX35S7K/ref=sr_1_4?dib=eyJ2IjoiMSJ9.KwpdjAObc7gMgzovgYSHc6N3UEqB6zWcCUJHnB5o7ghcb7vrxVe3JY2o0Aa0t6SeVRQ8eCm7m4WYtGZ71w-FV4HTDtQ819PoOlhqTaBYNsmreH8sRv81UNXv9m4deuOsJCxs_mQTWnXGK8dwDZnuLMy33AyTmy6rpX_TaJ_WAqbKh2QuMnWhfQvRCBRmAwYi40N7CKLSeU7KE2yXRYQjP48CO-rUkPvmxsOD-atfBDg.vMwhOtCQv4hNZYv5l5ds5MN7TAnd7_a4sFV0nf4HhLU&dib_tag=se&keywords=headset&qid=1713238842&sr=8-4","https://m.media-amazon.com/images/I/61knlqJnutL._AC_UY218_.jpg",4.3,12093,true,,"USD",26.99,,
"search","amazon.com","headset",,,,5,"Turtle Beach Recon 50 Gaming Headset for PS5, PS4, PlayStation, Xbox Series X|S, Xbox One, Nintendo Switch, Mobile & PC with 3.5mm - Removable Mic, 40mm Speakers - Black","B00YXO5UKY","https://www.amazon.com/Turtle-PlayStation-Gaming-Headset-Nintendo-Console/dp/B00YXO5UKY/ref=sr_1_5?dib=eyJ2IjoiMSJ9.KwpdjAObc7gMgzovgYSHc6N3UEqB6zWcCUJHnB5o7ghcb7vrxVe3JY2o0Aa0t6SeVRQ8eCm7m4WYtGZ71w-FV4HTDtQ819PoOlhqTaBYNsmreH8sRv81UNXv9m4deuOsJCxs_mQTWnXGK8dwDZnuLMy33AyTmy6rpX_TaJ_WAqbKh2QuMnWhfQvRCBRmAwYi40N7CKLSeU7KE2yXRYQjP48CO-rUkPvmxsOD-atfBDg.vMwhOtCQv4hNZYv5l5ds5MN7TAnd7_a4sFV0nf4HhLU&dib_tag=se&keywords=headset&qid=1713238842&sr=8-5","https://m.media-amazon.com/images/I/71-KbSInMJL._AC_UY218_.jpg",4.4,96629,true,,"USD",24.95,,
"search","amazon.com","headset",,,,6,"Logitech H390 Wired Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB-A, in-Line Controls for Video Meetings, Music, Gaming and Beyond - Black","B000UXZQ42","https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MzI0NTcyODMyNTY2MTA2OjE3MTMyMzg4NDI6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDA3MzE4MDIwNzQ0MTo6MDo6&url=%2FLogitech-Headset-H390-Noise-Cancelling%2Fdp%2FB000UXZQ42%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.554a8ca1-8404-495b-9d4a-d917c67c9b4f%253Aamzn1.sym.554a8ca1-8404-495b-9d4a-d917c67c9b4f%26cv_ct_cx%3Dheadset%26dib%3DeyJ2IjoiMSJ9.77yQpIViW6qjF8NBYfk5Rb86JSOYTxzooFH20Vp2L9Lpapi7iC4Ye50CIIlYYzyFJcXfsi5p0IlHaYg5c-3Z4A.Kym0f0Tb4sIrhB68eNboixIvk7wqflU_J4W-QawEq2U%26dib_tag%3Dse%26keywords%3Dheadset%26pd_rd_i%3DB000UXZQ42%26pd_rd_r%3Db734b338-317c-441c-aa8b-518694a1ef98%26pd_rd_w%3DrgiyH%26pd_rd_wg%3DOU1FN%26pf_rd_p%3D554a8ca1-8404-495b-9d4a-d917c67c9b4f%26pf_rd_r%3DAR01K9RS8Y2STQ0QHMKE%26qid%3D1713238842%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-2c727eeb-987f-452f-86bd-c2978cc9d8b9-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1","https://m.media-amazon.com/images/I/61jBnY6paeL._AC_UL320_.jpg",4.4,60236,true,,"USD",21.99,,
"search","amazon.com","headset",,,,7,"Yealink UH34 USB Wired Headset with Microphone - Stereo Headphones with Noise Cancelling,Professional Business Headphones VoIP Phone Computer Call Center Office","B0CBR537T5","https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MzI0NTcyODMyNTY2MTA2OjE3MTMyMzg4NDI6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDA5MjEyMTQyMjUwMjo6MTo6&url=%2FYealink-UH34-Wired-Headset-Microphone%2Fdp%2FB0CBR537T5%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.554a8ca1-8404-495b-9d4a-d917c67c9b4f%253Aamzn1.sym.554a8ca1-8404-495b-9d4a-d917c67c9b4f%26cv_ct_cx%3Dheadset%26dib%3DeyJ2IjoiMSJ9.77yQpIViW6qjF8NBYfk5Rb86JSOYTxzooFH20Vp2L9Lpapi7iC4Ye50CIIlYYzyFJcXfsi5p0IlHaYg5c-3Z4A.Kym0f0Tb4sIrhB68eNboixIvk7wqflU_J4W-QawEq2U%26dib_tag%3Dse%26keywords%3Dheadset%26pd_rd_i%3DB0CBR537T5%26pd_rd_r%3Db734b338-317c-441c-aa8b-518694a1ef98%26pd_rd_w%3DrgiyH%26pd_rd_wg%3DOU1FN%26pf_rd_p%3D554a8ca1-8404-495b-9d4a-d917c67c9b4f%26pf_rd_r%3DAR01K9RS8Y2STQ0QHMKE%26qid%3D1713238842%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-2c727eeb-987f-452f-86bd-c2978cc9d8b9-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1","https://m.media-amazon.com/images/I/617nb76SSCL._AC_UL320_.jpg",4.3,398,true,,"USD",47.99,,
"search","amazon.com","headset",,,,8,"FIFINE Gaming Headset for PC-Wired Headphones with Microphone-7.1 Surround Sound Computer USB Headset for Laptop, Streaming Headphones on PS4/PS5, with EQ Mode, RGB, Soft Ear Pads - AmpliGame H6","B09YY5TCMX","https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MzI0NTcyODMyNTY2MTA2OjE3MTMyMzg4NDI6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDA2ODA0NjY3Njg5ODo6Mjo6&url=%2FFIFINE-PC-Wired-Headphones-Microphone-7-1-Streaming%2Fdp%2FB09YY5TCMX%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.554a8ca1-8404-495b-9d4a-d917c67c9b4f%253Aamzn1.sym.554a8ca1-8404-495b-9d4a-d917c67c9b4f%26cv_ct_cx%3Dheadset%26dib%3DeyJ2IjoiMSJ9.77yQpIViW6qjF8NBYfk5Rb86JSOYTxzooFH20Vp2L9Lpapi7iC4Ye50CIIlYYzyFJcXfsi5p0IlHaYg5c-3Z4A.Kym0f0Tb4sIrhB68eNboixIvk7wqflU_J4W-QawEq2U%26dib_tag%3Dse%26keywords%3Dheadset%26pd_rd_i%3DB09YY5TCMX%26pd_rd_r%3Db734b338-317c-441c-aa8b-518694a1ef98%26pd_rd_w%3DrgiyH%26pd_rd_wg%3DOU1FN%26pf_rd_p%3D554a8ca1-8404-495b-9d4a-d917c67c9b4f%26pf_rd_r%3DAR01K9RS8Y2STQ0QHMKE%26qid%3D1713238842%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-2c727eeb-987f-452f-86bd-c2978cc9d8b9-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1","https://m.media-amazon.com/images/I/71LP40TtRHL._AC_UL320_.jpg",4.2,1236,true,,"USD",39.99,,
"search","amazon.com","headset",,,,9,"JBL Endurance Peak 3 - True Wireless Headphones (Black), Small","B0BQPW9R9H","https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MzI0NTcyODMyNTY2MTA2OjE3MTMyMzg4NDI6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDA1ODIyMTAyODYwMjo6Mzo6&url=%2FJBL-Endurance-Peak-Wireless-Headphones%2Fdp%2FB0BQPW9R9H%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.554a8ca1-8404-495b-9d4a-d917c67c9b4f%253Aamzn1.sym.554a8ca1-8404-495b-9d4a-d917c67c9b4f%26cv_ct_cx%3Dheadset%26dib%3DeyJ2IjoiMSJ9.77yQpIViW6qjF8NBYfk5Rb86JSOYTxzooFH20Vp2L9Lpapi7iC4Ye50CIIlYYzyFJcXfsi5p0IlHaYg5c-3Z4A.Kym0f0Tb4sIrhB68eNboixIvk7wqflU_J4W-QawEq2U%26dib_tag%3Dse%26keywords%3Dheadset%26pd_rd_i%3DB0BQPW9R9H%26pd_rd_r%3Db734b338-317c-441c-aa8b-518694a1ef98%26pd_rd_w%3DrgiyH%26pd_rd_wg%3DOU1FN%26pf_rd_p%3D554a8ca1-8404-495b-9d4a-d917c67c9b4f%26pf_rd_r%3DAR01K9RS8Y2STQ0QHMKE%26qid%3D1713238842%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-4-2c727eeb-987f-452f-86bd-c2978cc9d8b9-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1","https://m.media-amazon.com/images/I/61kqROv183L._AC_UL320_.jpg",4.2,1176,,,"USD",79.95,,
"search","amazon.com","headset",,,,10,"Yealink WH62 Wireless DECT Headset, Noise Cancelling Microphone, Compatible with Zoom and Other Leading Conference Platforms,for PC Computer Laptop DECT Headset for Office IP VoIP Phones","B08ZSBMNF3","https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MzI0NTcyODMyNTY2MTA2OjE3MTMyMzg4NDI6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDE1NjM2NjQ3NTkwMjo6NDo6&url=%2FYealink-Wireless-Microphone-Computer-Communication%2Fdp%2FB08ZSBMNF3%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.554a8ca1-8404-495b-9d4a-d917c67c9b4f%253Aamzn1.sym.554a8ca1-8404-495b-9d4a-d917c67c9b4f%26cv_ct_cx%3Dheadset%26dib%3DeyJ2IjoiMSJ9.77yQpIViW6qjF8NBYfk5Rb86JSOYTxzooFH20Vp2L9Lpapi7iC4Ye50CIIlYYzyFJcXfsi5p0IlHaYg5c-3Z4A.Kym0f0Tb4sIrhB68eNboixIvk7wqflU_J4W-QawEq2U%26dib_tag%3Dse%26keywords%3Dheadset%26pd_rd_i%3DB08ZSBMNF3%26pd_rd_r%3Db734b338-317c-441c-aa8b-518694a1ef98%26pd_rd_w%3DrgiyH%26pd_rd_wg%3DOU1FN%26pf_rd_p%3D554a8ca1-8404-495b-9d4a-d917c67c9b4f%26pf_rd_r%3DAR01K9RS8Y2STQ0QHMKE%26qid%3D1713238842%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-5-2c727eeb-987f-452f-86bd-c2978cc9d8b9-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1","https://m.media-amazon.com/images/I/61jofVuDrsS._AC_UL320_.jpg",4.1,476,true,,"USD",196.99,,
